"subject","group","AUC","comparison","row_y"
21,"Air",8.33104738367167,"Air - Solvent",5
22,"Solvent",5.40573216106834,"Air - Solvent",6
22,"Air",10.8635127401104,"Air - Solvent",5
23,"Solvent",-5.72764363654497,"Air - Solvent",6
23,"Air",-2.57527554258087,"Air - Solvent",5
24,"Solvent",3.65162131046047,"Air - Solvent",6
24,"Air",3.75629703367084,"Air - Solvent",5
25,"Solvent",-2.85182254845832,"Air - Solvent",6
25,"Air",-1.93780387843399,"Air - Solvent",5
26,"Solvent",-11.3808986219892,"Air - Solvent",6
26,"Air",-11.0172953281295,"Air - Solvent",5
27,"Solvent",-5.92824717438892,"Air - Solvent",6
27,"Air",-1.11533330585487,"Air - Solvent",5
28,"Solvent",-3.00950147304912,"Air - Solvent",6
28,"Air",1.46484830589742,"Air - Solvent",5
29,"Solvent",-4.57786797850772,"Air - Solvent",6
29,"Air",-3.07383897862882,"Air - Solvent",5
30,"Solvent",-6.35257331650222,"Air - Solvent",6
30,"Air",-9.56948307653671,"Air - Solvent",5
31,"Solvent",0.563504222194328,"Air - Solvent",6
31,"Air",9.45973671369846,"Air - Solvent",5
32,"Solvent",-10.1976642840139,"Air - Solvent",6
32,"Air",-7.46607490432654,"Air - Solvent",5
33,"Solvent",-10.8855807081966,"Air - Solvent",6
33,"Air",-6.4464628232842,"Air - Solvent",5
34,"Solvent",2.21291785236,"Air - Solvent",6
34,"Air",-3.09609003827128,"Air - Solvent",5
35,"Solvent",-3.02001057186465,"Air - Solvent",6
35,"Air",-2.00497852398542,"Air - Solvent",5
36,"Solvent",1.53213155843621,"Air - Solvent",6
36,"Air",8.27811724852326,"Air - Solvent",5
37,"Solvent",0.35286186144831,"Air - Solvent",6
37,"Air",2.56814127058894,"Air - Solvent",5
38,"Solvent",-5.69945477799848,"Air - Solvent",6
38,"Air",-6.97518993163886,"Air - Solvent",5
39,"Solvent",-6.0336929576656,"Air - Solvent",6
39,"Air",-6.73767900008568,"Air - Solvent",5
40,"Solvent",-5.57744871088846,"Air - Solvent",6
40,"Air",5.38415891219264,"Air - Solvent",5
41,"Solvent",0.293908429227552,"Air - Solvent",6
41,"Air",-4.06108614078638,"Air - Solvent",5
42,"Solvent",-1.30334282818615,"Air - Solvent",6
42,"Air",1.52345232041877,"Air - Solvent",5
43,"Solvent",8.67009273647177,"Air - Solvent",6
43,"Air",19.6990117588591,"Air - Solvent",5
44,"Solvent",4.10792583232248,"Air - Solvent",6
44,"Air",12.1221847185285,"Air - Solvent",5
45,"Solvent",1.42167131403131,"Air - Solvent",6
45,"Air",-8.58370475566476,"Air - Solvent",5
46,"Solvent",1.12320727462294,"Air - Solvent",6
46,"Air",3.52288663548288,"Air - Solvent",5
47,"Solvent",-1.38586171472584,"Air - Solvent",6
47,"Air",-3.89431910694499,"Air - Solvent",5
48,"Solvent",-11.6110371600972,"Air - Solvent",6
48,"Air",-6.58065428333802,"Air - Solvent",5
49,"Solvent",-9.50436673710293,"Air - Solvent",6
49,"Air",-6.10199044115441,"Air - Solvent",5
50,"Solvent",-5.30412749677642,"Air - Solvent",6
50,"Air",-10.0505032933972,"Air - Solvent",5
51,"Solvent",-1.94324330820903,"Air - Solvent",6
51,"Air",5.20742352800229,"Air - Solvent",5
52,"Solvent",-6.79126129844597,"Air - Solvent",6
52,"Air",-6.4085319643091,"Air - Solvent",5
53,"Solvent",6.71890296020102,"Air - Solvent",6
53,"Air",12.3676063933853,"Air - Solvent",5
54,"Solvent",-7.30593262709162,"Air - Solvent",6
54,"Air",-9.29812891983125,"Air - Solvent",5
55,"Solvent",1.24514982258048,"Air - Solvent",6
55,"Air",1.90397432868515,"Air - Solvent",5
56,"Solvent",-12,"Air - Solvent",6
56,"Air",-12,"Air - Solvent",5
57,"Solvent",-3.56328721883613,"Air - Solvent",6
57,"Air",-5.01564620323453,"Air - Solvent",5
58,"Solvent",-8.79975611956831,"Air - Solvent",6
58,"Air",-4.65155083165797,"Air - Solvent",5
59,"Solvent",-3.32146359350632,"Air - Solvent",6
59,"Air",-5.14060464685777,"Air - Solvent",5
60,"Solvent",-4.63610814483571,"Air - Solvent",6
60,"Air",-2.33501468483924,"Air - Solvent",5
61,"Solvent",5.22783003248096,"Air - Solvent",6
61,"Air",-2.91311971860901,"Air - Solvent",5
62,"Solvent",4.01526291311306,"Air - Solvent",6
62,"Air",-4.68290168883126,"Air - Solvent",5
63,"Solvent",-3.24769476846341,"Air - Solvent",6
63,"Air",-3.88204767361956,"Air - Solvent",5
64,"Solvent",5.77287128499329,"Air - Solvent",6
64,"Air",5.39198476681309,"Air - Solvent",5
65,"Solvent",-5.13930087198452,"Air - Solvent",6
65,"Air",-12,"Air - Solvent",5
66,"Solvent",0.587551318159591,"Air - Solvent",6
66,"Air",1.91457288597681,"Air - Solvent",5
67,"Solvent",-2.70878624299399,"Air - Solvent",6
67,"Air",5.84905173718804,"Air - Solvent",5
68,"Solvent",9.59611505271895,"Air - Solvent",6
68,"Air",9.54961518718785,"Air - Solvent",5
69,"Solvent",1.76414510442039,"Air - Solvent",6
69,"Air",0.668952769839092,"Air - Solvent",5
70,"Solvent",0.0779657853785767,"Air - Solvent",6
70,"Air",3.22466715250031,"Air - Solvent",5
71,"Solvent",3.64959628116745,"Air - Solvent",6
71,"Air",4.73319526091898,"Air - Solvent",5
72,"Solvent",6.61516646353748,"Air - Solvent",6
72,"Air",1.29311892944343,"Air - Solvent",5
73,"Solvent",8.24694781418887,"Air - Solvent",6
73,"Air",10.1455908543195,"Air - Solvent",5
74,"Solvent",-6.87214281019267,"Air - Solvent",6
74,"Air",-2.93406760422674,"Air - Solvent",5
75,"Solvent",-8.15143406801053,"Air - Solvent",6
75,"Air",-9.6671658588221,"Air - Solvent",5
76,"Solvent",1.55126735659871,"Air - Solvent",6
76,"Air",5.38097707429138,"Air - Solvent",5
77,"Solvent",-10.8994697198948,"Air - Solvent",6
77,"Air",-12,"Air - Solvent",5
78,"Solvent",6.00857982776552,"Air - Solvent",6
78,"Air",3.19347884929202,"Air - Solvent",5
79,"Solvent",4.52419348171678,"Air - Solvent",6
79,"Air",5.43126029627256,"Air - Solvent",5
80,"Solvent",0.044654757657224,"Air - Solvent",6
80,"Air",2.41838618156376,"Air - Solvent",5
81,"Solvent",-10.8813509601758,"Air - Solvent",6
81,"Air",-12,"Air - Solvent",5
82,"Solvent",5.6686451699326,"Air - Solvent",6
82,"Air",13.3786759716294,"Air - Solvent",5
83,"Solvent",-2.2193325248353,"Air - Solvent",6
83,"Air",-0.562597493128319,"Air - Solvent",5
84,"Solvent",1.92405442912357,"Air - Solvent",6
84,"Air",2.36288483370261,"Air - Solvent",5
85,"Solvent",-0.850369355886945,"Air - Solvent",6
85,"Air",1.06118287788922,"Air - Solvent",5
86,"Solvent",11.389700951363,"Air - Solvent",6
86,"Air",13.1376016308943,"Air - Solvent",5
87,"Solvent",8.07343567774353,"Air - Solvent",6
87,"Air",10.6634209215247,"Air - Solvent",5
88,"Solvent",6.98645544230125,"Air - Solvent",6
88,"Air",6.30997785539125,"Air - Solvent",5
89,"Solvent",-0.756771662389827,"Air - Solvent",6
89,"Air",-5.49902750139635,"Air - Solvent",5
90,"Solvent",-4.42938891715133,"Air - Solvent",6
90,"Air",-6.90467514405714,"Air - Solvent",5
91,"Solvent",1.02415661944988,"Air - Solvent",6
91,"Air",6.24284011307122,"Air - Solvent",5
92,"Solvent",-0.832782154360674,"Air - Solvent",6
92,"Air",-0.280478380449119,"Air - Solvent",5
93,"Solvent",1.15127778039606,"Air - Solvent",6
93,"Air",3.47154170961816,"Air - Solvent",5
94,"Solvent",-0.875902889084349,"Air - Solvent",6
94,"Air",-0.730841912303352,"Air - Solvent",5
95,"Solvent",-1.00899093782918,"Air - Solvent",6
95,"Air",5.49671351959338,"Air - Solvent",5
96,"Solvent",-1.69827211571253,"Air - Solvent",6
96,"Air",-0.951210050017848,"Air - Solvent",5
97,"Solvent",-7.12780761267004,"Air - Solvent",6
97,"Air",-0.961318401147008,"Air - Solvent",5
98,"Solvent",-9.33689361973398,"Air - Solvent",6
98,"Air",-10.107614221526,"Air - Solvent",5
99,"Solvent",-7.65735085131608,"Air - Solvent",6
99,"Air",-6.63901567603212,"Air - Solvent",5
100,"Solvent",-5.49831140868036,"Air - Solvent",6
100,"Air",-6.16199967914767,"Air - Solvent",5
101,"Solvent",6.6015103847822,"Air - Solvent",6
101,"Air",4.10286548528099,"Air - Solvent",5
102,"Solvent",12.4103648496729,"Air - Solvent",6
102,"Air",15.455309965421,"Air - Solvent",5
103,"Solvent",-4.54960061982942,"Air - Solvent",6
103,"Air",-1.37333619166705,"Air - Solvent",5
104,"Solvent",-7.8953131005323,"Air - Solvent",6
104,"Air",-5.61013332922376,"Air - Solvent",5
105,"Solvent",-2.93186723108054,"Air - Solvent",6
105,"Air",-4.93944101458327,"Air - Solvent",5
106,"Solvent",-3.09036253914452,"Air - Solvent",6
106,"Air",-5.22275725404376,"Air - Solvent",5
107,"Solvent",4.76377782942412,"Air - Solvent",6
107,"Air",7.25976034027535,"Air - Solvent",5
108,"Solvent",-9.59517002305433,"Air - Solvent",6
108,"Air",-8.31924801736621,"Air - Solvent",5
109,"Solvent",3.49253129352271,"Air - Solvent",6
109,"Air",-0.00214701906305548,"Air - Solvent",5
110,"Solvent",6.7193541845815,"Air - Solvent",6
110,"Air",11.9748185461847,"Air - Solvent",5
111,"Solvent",-3.2783354774431,"Air - Solvent",6
111,"Air",-7.70074140813383,"Air - Solvent",5
112,"Solvent",-6.85405524808397,"Air - Solvent",6
112,"Air",-2.61860719786639,"Air - Solvent",5
113,"Solvent",1.53295151422064,"Air - Solvent",6
113,"Air",5.00435530540846,"Air - Solvent",5
114,"Solvent",-12,"Air - Solvent",6
114,"Air",-12,"Air - Solvent",5
115,"Solvent",-0.087119118530057,"Air - Solvent",6
115,"Air",3.53477697119039,"Air - Solvent",5
116,"Solvent",6.16289608507879,"Air - Solvent",6
116,"Air",8.82270786025378,"Air - Solvent",5
117,"Solvent",-2.81597675633012,"Air - Solvent",6
117,"Air",0.191168333545052,"Air - Solvent",5
118,"Solvent",4.57484980937228,"Air - Solvent",6
118,"Air",-1.22392550547696,"Air - Solvent",5
119,"Solvent",-3.88423270486122,"Air - Solvent",6
119,"Air",-5.55188809501113,"Air - Solvent",5
120,"Solvent",-1.59636831427322,"Air - Solvent",6
120,"Air",-9.86497454309256,"Air - Solvent",5
121,"Solvent",-1.61262829332926,"Air - Solvent",6
121,"Air",0.246492772130421,"Air - Solvent",5
122,"Solvent",6.19014637890593,"Air - Solvent",6
122,"Air",12.2268046027631,"Air - Solvent",5
123,"Solvent",3.32213092569064,"Air - Solvent",6
123,"Air",-1.1932078048502,"Air - Solvent",5
124,"Solvent",2.04248676946588,"Air - Solvent",6
124,"Air",4.34866921619801,"Air - Solvent",5
125,"Solvent",0.315731607661082,"Air - Solvent",6
125,"Air",0.76566175281668,"Air - Solvent",5
1,"Solvent",9.03102351581734,"IPM - Solvent",4
1,"IPM",39.4587712172331,"IPM - Solvent",3
2,"Solvent",-1.27649325836673,"IPM - Solvent",4
2,"IPM",17.9836169464443,"IPM - Solvent",3
3,"Solvent",2.06723290192737,"IPM - Solvent",4
3,"IPM",13.1358624277391,"IPM - Solvent",3
4,"Solvent",-5.71985595650756,"IPM - Solvent",4
4,"IPM",17.9557054129415,"IPM - Solvent",3
5,"Solvent",-3.64003861916017,"IPM - Solvent",4
5,"IPM",15.7808450030011,"IPM - Solvent",3
6,"Solvent",5.76752046088501,"IPM - Solvent",4
6,"IPM",20.0143148800864,"IPM - Solvent",3
7,"Solvent",7.34897456166788,"IPM - Solvent",4
7,"IPM",44.1453105797791,"IPM - Solvent",3
8,"Solvent",-3.16497459743721,"IPM - Solvent",4
8,"IPM",38.4945510519016,"IPM - Solvent",3
9,"Solvent",2.63446390261542,"IPM - Solvent",4
9,"IPM",17.5835498013311,"IPM - Solvent",3
10,"Solvent",-0.0444823647502106,"IPM - Solvent",4
10,"IPM",17.4942663212004,"IPM - Solvent",3
11,"Solvent",10.6880219402424,"IPM - Solvent",4
11,"IPM",18.1481177574087,"IPM - Solvent",3
12,"Solvent",10.2475286799539,"IPM - Solvent",4
12,"IPM",15.1461071917809,"IPM - Solvent",3
13,"Solvent",-2.05344143187441,"IPM - Solvent",4
13,"IPM",16.0409390412695,"IPM - Solvent",3
14,"Solvent",4.12608164449981,"IPM - Solvent",4
14,"IPM",33.9981985872689,"IPM - Solvent",3
15,"Solvent",4.48736349327444,"IPM - Solvent",4
15,"IPM",15.1231096140125,"IPM - Solvent",3
16,"Solvent",-1.95067409688537,"IPM - Solvent",4
16,"IPM",18.9557411919615,"IPM - Solvent",3
17,"Solvent",0.490876088802642,"IPM - Solvent",4
17,"IPM",1.65122469525413,"IPM - Solvent",3
18,"Solvent",1.04382918102572,"IPM - Solvent",4
18,"IPM",42.081596846727,"IPM - Solvent",3
19,"Solvent",4.29895630122935,"IPM - Solvent",4
19,"IPM",36.0369148014205,"IPM - Solvent",3
20,"Solvent",12.3228645230414,"IPM - Solvent",4
20,"IPM",50.1356071644567,"IPM - Solvent",3
21,"Solvent",0.149033035607918,"IPM - Solvent",4
21,"IPM",-4.48548010493438,"IPM - Solvent",3
22,"Solvent",-6.62345949830612,"IPM - Solvent",4
22,"IPM",-0.0712083988514847,"IPM - Solvent",3
23,"Solvent",-3.55925676000515,"IPM - Solvent",4
23,"IPM",15.2025712371842,"IPM - Solvent",3
24,"Solvent",-5.12637044931672,"IPM - Solvent",4
24,"IPM",10.4706064970821,"IPM - Solvent",3
25,"Solvent",-2.78209790424139,"IPM - Solvent",4
25,"IPM",27.8081207792703,"IPM - Solvent",3
26,"Solvent",0.782147219122816,"IPM - Solvent",4
26,"IPM",21.252338831942,"IPM - Solvent",3
27,"Solvent",-2.58940779574938,"IPM - Solvent",4
27,"IPM",11.3645956768793,"IPM - Solvent",3
28,"Solvent",-6.27849884928018,"IPM - Solvent",4
28,"IPM",19.9039479894567,"IPM - Solvent",3
29,"Solvent",5.64761799257893,"IPM - Solvent",4
29,"IPM",36.1346850626012,"IPM - Solvent",3
30,"Solvent",5.24956284326949,"IPM - Solvent",4
30,"IPM",33.8668524452621,"IPM - Solvent",3
31,"Solvent",-0.297809184105869,"IPM - Solvent",4
31,"IPM",24.6044316101106,"IPM - Solvent",3
32,"Solvent",7.10151918582851,"IPM - Solvent",4
32,"IPM",37.4755729161002,"IPM - Solvent",3
33,"Solvent",10.4199985418568,"IPM - Solvent",4
33,"IPM",30.9869369038935,"IPM - Solvent",3
34,"Solvent",0.13236576205342,"IPM - Solvent",4
34,"IPM",35.7870438223322,"IPM - Solvent",3
35,"Solvent",0.13279315460029,"IPM - Solvent",4
35,"IPM",22.1999913577163,"IPM - Solvent",3
36,"Solvent",-12,"IPM - Solvent",4
36,"IPM",6.06060544277633,"IPM - Solvent",3
37,"Solvent",12.0796098905185,"IPM - Solvent",4
37,"IPM",14.6445097474083,"IPM - Solvent",3
38,"Solvent",11.1681857842987,"IPM - Solvent",4
38,"IPM",26.4626305152016,"IPM - Solvent",3
39,"Solvent",0.458874971343888,"IPM - Solvent",4
39,"IPM",28.9444176616664,"IPM - Solvent",3
40,"Solvent",5.98292874094249,"IPM - Solvent",4
40,"IPM",13.0359743142175,"IPM - Solvent",3
41,"Solvent",-5.2464090261209,"IPM - Solvent",4
41,"IPM",11.0534597843306,"IPM - Solvent",3
42,"Solvent",-3.51774213017934,"IPM - Solvent",4
42,"IPM",22.0356162250426,"IPM - Solvent",3
43,"Solvent",7.04571619237563,"IPM - Solvent",4
43,"IPM",34.521047956475,"IPM - Solvent",3
44,"Solvent",10.3116960405124,"IPM - Solvent",4
44,"IPM",18.7983521352058,"IPM - Solvent",3
45,"Solvent",0.943714768416956,"IPM - Solvent",4
45,"IPM",23.7540991736008,"IPM - Solvent",3
46,"Solvent",-0.681154828133718,"IPM - Solvent",4
46,"IPM",12.6897941788661,"IPM - Solvent",3
47,"Solvent",9.61819547852138,"IPM - Solvent",4
47,"IPM",30.4210970563122,"IPM - Solvent",3
48,"Solvent",6.50472821514645,"IPM - Solvent",4
48,"IPM",31.7413949665612,"IPM - Solvent",3
49,"Solvent",10.9451917981608,"IPM - Solvent",4
49,"IPM",20.5060021845724,"IPM - Solvent",3
50,"Solvent",-3.89002510074389,"IPM - Solvent",4
50,"IPM",8.99681999151837,"IPM - Solvent",3
51,"Solvent",3.53311747499035,"IPM - Solvent",4
51,"IPM",9.49401400190709,"IPM - Solvent",3
52,"Solvent",0.202986476142817,"IPM - Solvent",4
52,"IPM",19.2881655687475,"IPM - Solvent",3
53,"Solvent",-12,"IPM - Solvent",4
53,"IPM",-12,"IPM - Solvent",3
54,"Solvent",0.791214892937862,"IPM - Solvent",4
54,"IPM",28.0007396765646,"IPM - Solvent",3
55,"Solvent",3.66013324791233,"IPM - Solvent",4
55,"IPM",15.2677493259076,"IPM - Solvent",3
56,"Solvent",11.1761111376635,"IPM - Solvent",4
56,"IPM",13.3673251862625,"IPM - Solvent",3
57,"Solvent",11.0293700621132,"IPM - Solvent",4
57,"IPM",20.4391643148227,"IPM - Solvent",3
58,"Solvent",2.75414582087346,"IPM - Solvent",4
58,"IPM",1.09195678979908,"IPM - Solvent",3
59,"Solvent",-3.17696280134723,"IPM - Solvent",4
59,"IPM",15.4335721048823,"IPM - Solvent",3
60,"Solvent",0.565814784681812,"IPM - Solvent",4
60,"IPM",28.5718718179053,"IPM - Solvent",3
61,"Solvent",-2.95117435082417,"IPM - Solvent",4
61,"IPM",-12,"IPM - Solvent",3
62,"Solvent",6.31472698746178,"IPM - Solvent",4
62,"IPM",23.9381715410682,"IPM - Solvent",3
63,"Solvent",-7.00939251173886,"IPM - Solvent",4
63,"IPM",19.5753905448805,"IPM - Solvent",3
64,"Solvent",-4.24412782452641,"IPM - Solvent",4
64,"IPM",23.3584527410394,"IPM - Solvent",3
65,"Solvent",6.11604933321118,"IPM - Solvent",4
65,"IPM",31.0346899062225,"IPM - Solvent",3
66,"Solvent",14.5785887497064,"IPM - Solvent",4
66,"IPM",31.9485373381933,"IPM - Solvent",3
67,"Solvent",-9.7511083648567,"IPM - Solvent",4
67,"IPM",13.7211365371377,"IPM - Solvent",3
68,"Solvent",-2.04012599603339,"IPM - Solvent",4
68,"IPM",23.8615915790027,"IPM - Solvent",3
69,"Solvent",-8.76123399654871,"IPM - Solvent",4
69,"IPM",17.0653154898542,"IPM - Solvent",3
70,"Solvent",9.07402572480568,"IPM - Solvent",4
70,"IPM",25.3547624509363,"IPM - Solvent",3
71,"Solvent",-9.37516314061524,"IPM - Solvent",4
71,"IPM",15.1494385149346,"IPM - Solvent",3
72,"Solvent",2.51360208747219,"IPM - Solvent",4
72,"IPM",12.2789100927586,"IPM - Solvent",3
73,"Solvent",-2.21459380658488,"IPM - Solvent",4
73,"IPM",21.5392873752831,"IPM - Solvent",3
74,"Solvent",1.45783992887197,"IPM - Solvent",4
74,"IPM",24.9368966256709,"IPM - Solvent",3
75,"Solvent",-0.255585310761296,"IPM - Solvent",4
75,"IPM",10.6138912663599,"IPM - Solvent",3
76,"Solvent",-9.35379072286528,"IPM - Solvent",4
76,"IPM",9.48178236040724,"IPM - Solvent",3
77,"Solvent",-3.54467758822039,"IPM - Solvent",4
77,"IPM",31.6895059514042,"IPM - Solvent",3
78,"Solvent",-7.55866662426843,"IPM - Solvent",4
78,"IPM",0.572736950481538,"IPM - Solvent",3
79,"Solvent",0.0295852214045775,"IPM - Solvent",4
79,"IPM",25.2911588700629,"IPM - Solvent",3
80,"Solvent",14.6364056494257,"IPM - Solvent",4
80,"IPM",21.3877371089922,"IPM - Solvent",3
81,"Solvent",2.93750819077018,"IPM - Solvent",4
81,"IPM",22.7153033943635,"IPM - Solvent",3
82,"Solvent",-6.32992556403612,"IPM - Solvent",4
82,"IPM",23.2968618036571,"IPM - Solvent",3
83,"Solvent",11.099426557869,"IPM - Solvent",4
83,"IPM",33.8543119423532,"IPM - Solvent",3
84,"Solvent",3.35403413204914,"IPM - Solvent",4
84,"IPM",23.002912587125,"IPM - Solvent",3
85,"Solvent",1.20369762195392,"IPM - Solvent",4
85,"IPM",19.7128721121335,"IPM - Solvent",3
86,"Solvent",-2.18129357528242,"IPM - Solvent",4
86,"IPM",16.0422402027993,"IPM - Solvent",3
87,"Solvent",-6.19933715263903,"IPM - Solvent",4
87,"IPM",3.8237294468696,"IPM - Solvent",3
88,"Solvent",-2.8278787792979,"IPM - Solvent",4
88,"IPM",18.6533311356699,"IPM - Solvent",3
89,"Solvent",-2.83826964824916,"IPM - Solvent",4
89,"IPM",16.3618283517827,"IPM - Solvent",3
90,"Solvent",3.90135689523898,"IPM - Solvent",4
90,"IPM",20.8082142577323,"IPM - Solvent",3
91,"Solvent",-6.61996197008533,"IPM - Solvent",4
91,"IPM",12.869721280085,"IPM - Solvent",3
92,"Solvent",-12,"IPM - Solvent",4
92,"IPM",-8.53815291671773,"IPM - Solvent",3
93,"Solvent",-6.94582246926206,"IPM - Solvent",4
93,"IPM",21.5485760629868,"IPM - Solvent",3
94,"Solvent",-3.18336273025717,"IPM - Solvent",4
94,"IPM",24.6169309705505,"IPM - Solvent",3
95,"Solvent",0.277406638981715,"IPM - Solvent",4
95,"IPM",42.1858664475264,"IPM - Solvent",3
96,"Solvent",4.90697652720654,"IPM - Solvent",4
96,"IPM",24.020620679585,"IPM - Solvent",3
97,"Solvent",-0.580339690909705,"IPM - Solvent",4
97,"IPM",1.03658559106259,"IPM - Solvent",3
98,"Solvent",12.0576835945769,"IPM - Solvent",4
98,"IPM",26.5760954704281,"IPM - Solvent",3
99,"Solvent",1.74621627247812,"IPM - Solvent",4
99,"IPM",20.6448411033473,"IPM - Solvent",3
100,"Solvent",6.77614345446391,"IPM - Solvent",4
100,"IPM",11.8572724270768,"IPM - Solvent",3
101,"Solvent",1.76518272672469,"IPM - Solvent",4
101,"IPM",29.4476809198197,"IPM - Solvent",3
102,"Solvent",0.3505254186889,"IPM - Solvent",4
102,"IPM",21.7446216886744,"IPM - Solvent",3
103,"Solvent",-4.87009634526423,"IPM - Solvent",4
103,"IPM",3.10394260171556,"IPM - Solvent",3
104,"Solvent",-6.56089330410795,"IPM - Solvent",4
104,"IPM",21.6794309921489,"IPM - Solvent",3
105,"Solvent",-1.24424639436,"IPM - Solvent",4
105,"IPM",12.6476719999998,"IPM - Solvent",3
106,"Solvent",6.52014398827148,"IPM - Solvent",4
106,"IPM",4.10778513093976,"IPM - Solvent",3
107,"Solvent",-0.325118491034024,"IPM - Solvent",4
107,"IPM",34.507456316726,"IPM - Solvent",3
108,"Solvent",13.4035971857459,"IPM - Solvent",4
108,"IPM",29.4961353934846,"IPM - Solvent",3
109,"Solvent",-7.38944997600361,"IPM - Solvent",4
109,"IPM",8.40576320719357,"IPM - Solvent",3
110,"Solvent",8.35036166887401,"IPM - Solvent",4
110,"IPM",13.1492117906025,"IPM - Solvent",3
111,"Solvent",-9.51606124318966,"IPM - Solvent",4
111,"IPM",15.8073432548236,"IPM - Solvent",3
112,"Solvent",11.65671957918,"IPM - Solvent",4
112,"IPM",9.12824190819719,"IPM - Solvent",3
113,"Solvent",2.20683319367791,"IPM - Solvent",4
113,"IPM",14.2653591237989,"IPM - Solvent",3
114,"Solvent",-7.45276133272034,"IPM - Solvent",4
114,"IPM",2.34675610572716,"IPM - Solvent",3
115,"Solvent",0.648763973436481,"IPM - Solvent",4
115,"IPM",17.502944170257,"IPM - Solvent",3
116,"Solvent",5.72465460630858,"IPM - Solvent",4
116,"IPM",23.9400515199948,"IPM - Solvent",3
117,"Solvent",0.672057235490596,"IPM - Solvent",4
117,"IPM",17.4491384391547,"IPM - Solvent",3
118,"Solvent",-10.4239095127222,"IPM - Solvent",4
118,"IPM",-9.91638064746007,"IPM - Solvent",3
119,"Solvent",-4.52448653583359,"IPM - Solvent",4
119,"IPM",24.5934157722752,"IPM - Solvent",3
120,"Solvent",0.0327159772845332,"IPM - Solvent",4
120,"IPM",24.8222789493441,"IPM - Solvent",3
121,"Solvent",-2.01486666945684,"IPM - Solvent",4
121,"IPM",14.7184130770986,"IPM - Solvent",3
122,"Solvent",-2.52632468043692,"IPM - Solvent",4
122,"IPM",31.1070832006711,"IPM - Solvent",3
123,"Solvent",9.72656260661704,"IPM - Solvent",4
123,"IPM",25.0649729823231,"IPM - Solvent",3
124,"Solvent",15.717016537021,"IPM - Solvent",4
124,"IPM",34.9574101261518,"IPM - Solvent",3
125,"Solvent",-7.28696138376712,"IPM - Solvent",4
125,"IPM",7.53064587421358,"IPM - Solvent",3
1,"Air",10.9941089672287,"IPM - Air",2
1,"IPM",22.7868977489979,"IPM - Air",1
2,"Air",-0.107461922690446,"IPM - Air",2
2,"IPM",12.3222701386976,"IPM - Air",1
3,"Air",-1.0363177172876,"IPM - Air",2
3,"IPM",34.0477521495126,"IPM - Air",1
4,"Air",0.167725694540987,"IPM - Air",2
4,"IPM",20.5631839667067,"IPM - Air",1
5,"Air",12.7120419370019,"IPM - Air",2
5,"IPM",16.8489952872335,"IPM - Air",1
6,"Air",7.93742881476343,"IPM - Air",2
6,"IPM",20.3968498995994,"IPM - Air",1
7,"Air",11.7366076757918,"IPM - Air",2
7,"IPM",23.036364401119,"IPM - Air",1
8,"Air",6.69150607607838,"IPM - Air",2
8,"IPM",0.953237286491257,"IPM - Air",1
9,"Air",0.87448065613579,"IPM - Air",2
9,"IPM",28.3081766733442,"IPM - Air",1
10,"Air",0.91211249243899,"IPM - Air",2
