"signature","AR_Spratt","AR_Hieronymus","AR_Full","AR_V7","Androgen_Response","Basal_Zhang","BRCA1_DDR","Homologous_Recomb","DNA_Repair","MMR","Chromatin_Remodel","Replication_Stress","CD8_Tcell","CD4_Tcell","Bcell","IFN_Gamma","Inflammatory","TGFbeta","Stromal","Luminal_A","Luminal_B","Basal","Neuroendocrine","EMT","Stemness","PI3K_AKT","MAPK","MYC","WNT","TP53_Loss","RB_Loss","Hypoxia","Glycolysis","OxPhos","Proliferation","Radiotherapy","Metastasis"
"Basal",-0.28684152132428,-0.333284174663485,-0.364114853770026,-0.404123866192832,-0.440230226437123,-0.426567530015806,-0.183006120937155,-0.1825397963329,-0.140404671439154,-0.166520214796077,-0.129539239884067,-0.154346616415582,0.243898009415251,0.392985330916365,0.20492132905926,0.405074949902536,0.419949544087475,0.413093275162241,0.166761228830194,0.635659152900532,0.620680779301469,1,0.709227833365764,0.662281303660614,0.586312041484455,0.148206561999665,0.147707464948844,0.105569609017885,0.121514769790632,0.131217462251945,0.132395222050394,0.0489879800224628,0.0436460712322781,-0.0398212536143571,-0.0207968483830553,-0.060127880817536,0.0797387762905004
"Neuroendocrine",-0.308868019212847,-0.296358503255055,-0.34978714978715,-0.391868336695923,-0.352932621898139,-0.410740486602556,-0.0941183699804389,-0.135535232086956,-0.0875911910394669,-0.142174383553694,-0.0534450327553776,-0.0688460343632757,0.206644613541165,0.407642807642808,0.210478989789335,0.42310798862523,0.44448586517552,0.388101553618795,0.0985399192295744,0.676099669203117,0.65450057863851,0.709227833365764,1,0.68745327366017,0.600084662153628,0.236774098843064,0.193894766308559,0.240147612561406,0.217571493433562,0.235046035046035,0.192202888754613,0.114091127884231,0.088940323423082,0.0302366785125406,0.0494242632173667,0.0449624311693277,0.121507942197597
"EMT",-0.259141976383356,-0.281487322866633,-0.313899955279266,-0.367463788153443,-0.3754131547235,-0.362278914003052,-0.12479269720649,-0.165354061905786,-0.100938452662591,-0.162821707649294,-0.113549699756596,-0.118404118404118,0.205897674863192,0.389426789426789,0.172325717153303,0.371924937442179,0.402447692102864,0.351973345076793,0.122370949957157,0.665018485708141,0.604404480266549,0.662281303660614,0.68745327366017,1,0.596543189646638,0.0934799900317142,0.122404405163026,0.053425915494881,0.0921376852411335,0.0905939664560354,0.0946010808079773,0.0366587125207815,0.0190919984023432,-0.0528134803996873,-0.0432726018932915,-0.0461695496178255,0.00451167347719072
"Stemness",-0.194081159598401,-0.306203892410789,-0.269142351900973,-0.356451563348115,-0.367115580908684,-0.299060864578106,-0.171670268221992,-0.223590016693465,-0.219266102024723,-0.237525816836162,-0.176162824438686,-0.171943371943372,0.193305545029683,0.394862236241546,0.211703859979722,0.358893793376552,0.369344790034445,0.352959249510974,0.0834482075861386,0.619278391692185,0.567011118735257,0.586312041484455,0.600084662153628,0.596543189646638,1,-0.0988266781370229,0.00268392682185786,-0.0795605761123002,-0.0706191602743327,-0.0605723571240812,-0.0798159280917902,-0.0368218919943058,-0.0391760460725978,-0.0629258284430698,-0.0539891919202264,-0.0994254580461477,-0.0113030802685975
"PI3K_AKT",-0.0130598199563717,0.178143509177992,-0.0225269604579949,0.0843337464027119,0.0577170577170577,-0.0251528527390596,0.246045287424598,0.286905017939501,0.298810974673044,0.258620348275521,0.247407392234978,0.216918092780162,-0.0707761949141259,-0.0413608758436345,-0.0646340922202991,0.00672517913897224,-0.0576501473053197,-0.00623837175561313,-0.127038975314837,0.0491887112576768,0.178770282218558,0.148206561999665,0.236774098843064,0.0934799900317142,-0.0988266781370229,1,0.681212853626647,0.698060622198553,0.786998214584421,0.657164022681264,0.570390094528025,0.433459985184123,0.45851520334279,0.394322173632518,0.420419282488248,0.452214700490563,0.414566669739083
"MAPK",-0.0518036793898863,0.142774528981426,-0.049479566720946,0.0325464532361084,0.0511748580714098,-0.0315789833031212,0.236395850188954,0.259866384004315,0.26042966042966,0.224501500363569,0.257856340614961,0.184911019393778,-0.0220961393375186,0.0701480563549529,-0.0118472394334463,0.0375483478931755,-0.00013791737929669,0.0569837742251535,-0.0732143283867422,0.0573012573012573,0.161544947751844,0.147707464948844,0.193894766308559,0.122404405163026,0.00268392682185786,0.681212853626647,1,0.55288141495038,0.644246899419313,0.541144782524093,0.489103502896606,0.363378156481605,0.384478832754695,0.345048800221214,0.37651990755439,0.347146919560713,0.343843730050627
"MYC",-0.0288909599254427,0.0978919806506013,-0.0792369482024654,0.0340655926862823,0.0275670896360551,-0.0637171464757672,0.166600780393884,0.209930734068665,0.213447627240731,0.155346176035831,0.231679348920728,0.192893841169703,0.0115290735980391,0.0178411833584247,-0.0414960621857174,0.0427864772692359,0.00119619429964258,0.0916590709694158,-0.0980019048984566,0.053044253044253,0.145315076349559,0.105569609017885,0.240147612561406,0.053425915494881,-0.0795605761123002,0.698060622198553,0.55288141495038,1,0.663476815200953,0.584103315137798,0.533075933075933,0.274437833058523,0.282512827340413,0.249542380576863,0.279529169184342,0.257897988932472,0.313713561989424
"WNT",-0.0222647808854705,0.154551444206617,-0.0362101396584155,0.059244390278873,0.0636816429919878,-0.0394757774068119,0.189632982736431,0.219475709130882,0.20515688101895,0.240170143618419,0.204261783572128,0.162296665744942,-0.064434726503692,-0.0348466693294279,-0.0703419599971324,-0.000426724564655599,-0.048101758446586,-0.00654356516425482,-0.122791529688081,0.0307364583226652,0.163148066596342,0.121514769790632,0.217571493433562,0.0921376852411335,-0.0706191602743327,0.786998214584421,0.644246899419313,0.663476815200953,1,0.618803191216984,0.561789375582479,0.429441263924022,0.465103830621072,0.400742842122152,0.364301247059868,0.401401704849981,0.401747863816829
"TP53_Loss",-0.0254935496314807,0.154423085457568,-0.00187212601005704,0.0907387114283666,0.121895066722653,-0.0486213382765107,0.187131352648594,0.243032270618477,0.248273131031752,0.262897835311628,0.238743176674211,0.213961062236924,0.00737380047724875,0.0297724021861953,-0.0104393897497346,0.0425632149770081,-0.00382754865513486,0.0613070061345923,-0.0519217967493829,0.0346466208535174,0.209330588640933,0.131217462251945,0.235046035046035,0.0905939664560354,-0.0605723571240812,0.657164022681264,0.541144782524093,0.584103315137798,0.618803191216984,1,0.529122756708963,0.187556711694643,0.160273649928822,0.16498673740053,0.172788627961042,0.197020438399749,0.201886463955429
"RB_Loss",0.0588183484735209,0.06412748481714,-0.0584837964148309,0.0659804935667005,0.0427468772296358,-0.0353061663406491,0.0514090445124928,0.150472640127813,0.164407757511206,0.0990977335804922,0.0945409979892738,0.0689115792564068,0.00971429936947178,0.0451617968859348,0.0141604279535314,0.111626366798781,0.0302264371229888,0.116803047837531,-0.0249999146550871,0.00584510239682653,0.163167866616142,0.132395222050394,0.192202888754613,0.0946010808079773,-0.0798159280917902,0.570390094528025,0.489103502896606,0.533075933075933,0.561789375582479,0.529122756708963,1,0.135110555800211,0.0866674177019005,0.152251910872601,0.12878752189097,0.100651010995839,0.0942221493945632
"Hypoxia",0.0477173649587443,0.134675638123914,0.0297580642408229,0.0511707615155891,0.094331390883115,0.00247090591918178,0.174306401892609,0.188412891861168,0.180075035247449,0.187732180835629,0.159046731460525,0.123436054470537,-0.224898866278177,-0.153792898620485,-0.211046362770501,-0.219982999293344,-0.208912739947223,-0.205160977574771,-0.270727036244278,0.0135179514489859,0.0757371240129861,0.0489879800224628,0.114091127884231,0.0366587125207815,-0.0368218919943058,0.433459985184123,0.363378156481605,0.274437833058523,0.429441263924022,0.187556711694643,0.135110555800211,1,0.725627029075305,0.674945805980289,0.650434064227168,0.632044625148073,0.691653608894988
"Glycolysis",0.0699541527127734,0.198135384342281,0.0840893185720772,0.12241123275606,0.165360206739517,0.0744432951329503,0.175875382771934,0.196692713934093,0.1693755142031,0.197035459104425,0.142246756039859,0.131795076622663,-0.232290418497315,-0.178409785306337,-0.217074444660652,-0.170517770517771,-0.231909438805991,-0.222918864298175,-0.229931485103899,-0.00190011914149845,0.0294235121821329,0.0436460712322781,0.088940323423082,0.0190919984023432,-0.0391760460725978,0.45851520334279,0.384478832754695,0.282512827340413,0.465103830621072,0.160273649928822,0.0866674177019005,0.725627029075305,1,0.706532299635748,0.719812650847133,0.662449945208566,0.717926186891704
"OxPhos",0.0405005991212888,0.137304261442192,0.0544521027279648,0.103967855691994,0.0981930775034223,0.0263722608550195,0.164762792348999,0.207262510710787,0.221558125006401,0.145005786385097,0.171907185700289,0.101772101772102,-0.250894243997692,-0.192615275373896,-0.208904546835581,-0.228550263033022,-0.257738906014768,-0.262462234876028,-0.311569015017291,-0.041086406603648,0.0415616070788484,-0.0398212536143571,0.0302366785125406,-0.0528134803996873,-0.0629258284430698,0.394322173632518,0.345048800221214,0.249542380576863,0.400742842122152,0.16498673740053,0.152251910872601,0.674945805980289,0.706532299635748,1,0.619523502282123,0.590198307439687,0.641518593242731
"Proliferation",0.197419169832963,0.258288527254044,0.17842821980753,0.254912282498489,0.280948625776212,0.204213990420887,0.173848953159298,0.17982377982378,0.203173465242431,0.138801552594656,0.160169187755395,0.11717105510209,-0.145342386721697,-0.152673173362829,-0.15947550430309,-0.189483458448976,-0.214038214038214,-0.194998105342933,-0.1556568315189,-0.0954845713466403,0.0565638772535324,-0.0207968483830553,0.0494242632173667,-0.0432726018932915,-0.0539891919202264,0.420419282488248,0.37651990755439,0.279529169184342,0.364301247059868,0.172788627961042,0.12878752189097,0.650434064227168,0.719812650847133,0.619523502282123,1,0.701591853315991,0.594856091407815
"Radiotherapy",0.175033540550782,0.329115246356626,0.167255546565891,0.238342396963087,0.261117881807537,0.215241235930891,0.236053105018622,0.304725035759518,0.264298857402306,0.26607539710988,0.22001986829573,0.164557964557965,-0.153360029222098,-0.118213628558456,-0.156454294385329,-0.150610557507109,-0.18189254051323,-0.176452314383349,-0.147945747945748,-0.0908691184553253,-0.0168996582789686,-0.060127880817536,0.0449624311693277,-0.0461695496178255,-0.0994254580461477,0.452214700490563,0.347146919560713,0.257897988932472,0.401401704849981,0.197020438399749,0.100651010995839,0.632044625148073,0.662449945208566,0.590198307439687,0.701591853315991,1,0.562383376176479
"Metastasis",-0.12699391320081,-0.0117359496669841,-0.13423935492901,-0.11508454267075,-0.063009807837394,-0.155095603371465,0.0925528028976305,0.110929269549959,0.115037432278812,0.088359295255847,0.0989659610349265,0.0355901942108839,-0.193377917515849,-0.143117274151757,-0.15097105441933,-0.149465570155225,-0.145548580031339,-0.13406320302872,-0.235676221883118,0.0107439003990728,0.0605238812135364,0.0797387762905004,0.121507942197597,0.00451167347719072,-0.0113030802685975,0.414566669739083,0.343843730050627,0.313713561989424,0.401747863816829,0.201886463955429,0.0942221493945632,0.691653608894988,0.717926186891704,0.641518593242731,0.594856091407815,0.562383376176479,1
