"tissue","condition","replicate","uptake","tissue_index","group_offset","x_summary","x_point"
"Blood","Pre-click",2,4.1,4,0,4,4.03509364541853
"Blood","Pre-click",3,4.5,4,0,4,4.02845745748142
"Blood","Pre-click",4,5.5,4,0,4,4.01000120266806
"Blood","Site-specific click",1,4.5,4,0.18,4.18,4.15028993533924
"Blood","Site-specific click",2,5.1,4,0.18,4.18,4.13968867301941
"Blood","Site-specific click",3,5.5,4,0.18,4.18,4.20057457393268
"Blood","Site-specific click",4,5.8,4,0.18,4.18,4.16012935323641
"Kidney","Control IgG click",1,3.9,5,-0.18,4.82,4.80355567192892
"Kidney","Control IgG click",2,4.1,5,-0.18,4.82,4.78382554886164
"Kidney","Control IgG click",3,4.4,5,-0.18,4.82,4.77760334745981
"Kidney","Control IgG click",4,4.8,5,-0.18,4.82,4.80679519955302
"Kidney","Pre-click",1,3.3,5,0,5,4.96954096158035
"Kidney","Pre-click",2,3.6,5,0,5,4.97198136853054
"Kidney","Pre-click",3,3.9,5,0,5,4.98271822137758
"Kidney","Pre-click",4,4.5,5,0,5,5.00909324631328
"Kidney","Site-specific click",1,3.5,5,0.18,5.18,5.15504644381348
"Kidney","Site-specific click",2,3.8,5,0.18,5.18,5.14347699383041
"Kidney","Site-specific click",3,4.1,5,0.18,5.18,5.14803686367348
"Kidney","Site-specific click",4,4.2,5,0.18,5.18,5.17029213114874
"Lungs","Control IgG click",1,2.7,6,-0.18,5.82,5.82336713419994
"Lungs","Control IgG click",2,3.4,6,-0.18,5.82,5.81891833297675
"Lungs","Control IgG click",3,3.7,6,-0.18,5.82,5.77901418757858
"Lungs","Control IgG click",4,4,6,-0.18,5.82,5.84366337436019
"Lungs","Pre-click",1,1.7,6,0,6,5.95813367296709
"Lungs","Pre-click",2,2.1,6,0,6,6.0220500721992
"Lungs","Pre-click",3,2.6,6,0,6,6.01294820302399
"Lungs","Pre-click",4,3,6,0,6,5.98834956314648
"Lungs","Site-specific click",1,1.9,6,0.18,6.18,6.16266279136995
"Lungs","Site-specific click",2,2.7,6,0.18,6.18,6.1752512247744
"Lungs","Site-specific click",3,3,6,0.18,6.18,6.18906980795553
"Lungs","Site-specific click",4,3.1,6,0.18,6.18,6.15592209413415
"Heart","Control IgG click",1,1.7,7,-0.18,6.82,6.82211035656277
"Heart","Control IgG click",2,1.9,7,-0.18,6.82,6.79499148597941
"Heart","Control IgG click",3,2.1,7,-0.18,6.82,6.79039712919388
"Heart","Control IgG click",4,3.6,7,-0.18,6.82,6.80881267888704
"Heart","Pre-click",1,0.8,7,0,7,6.96915702523664
"Heart","Pre-click",2,1.4,7,0,7,7.02257622037549
"Heart","Pre-click",3,1.8,7,0,7,6.97086660772096
"Heart","Pre-click",4,2.2,7,0,7,7.02481124743819
"Heart","Site-specific click",1,1.3,7,0.18,7.18,7.18175808438798
"Heart","Site-specific click",2,1.6,7,0.18,7.18,7.17451832805062
"Heart","Site-specific click",3,2,7,0.18,7.18,7.17226152708754
"Heart","Site-specific click",4,2.2,7,0.18,7.18,7.19540116038639
